Age,Gender,Income,City,Employment,WorkHours,Commute,DinnersCooked,EnjoysCooking,CookingSkill,CookingChallenges,DinnerTime,WhoCooks,CuisinePreferences,MealType,NonVegFrequency,DietGoals,Allergies,HealthImportance,CalorieTracking,OrderFrequency,SpendOutside,SpendMealKit,PaymentMode,TryMealKit,DeliveryPref,MealFreqSub,DesiredFeatures,ContinueService,ReferService,ReferralIncentive
29,Female,75k–1L,Mumbai,Part-time,10+,<15 min,3–4,Yes,4,"Too tired, Not cost-effective, Portioning issues, Cleaning up, Don't enjoy it, No time",8–9 PM,Self,"Continental, North Indian, Fusion, Chinese, Healthy Superfoods",Non-Vegetarian,Never,"Balanced meals, Quick meal-prep, High-protein, Weight loss, Immune boost, Gut health, Gluten-free",None,3,Occasionally,3–4 times,<150,₹150,UPI,Unlikely,3x/week,5–6,"Loyalty points, No cleanup, Recipe variety, Family plans, Nutrition labels, Customizable, Cancel-anytime, Easy cooking",Maybe,Maybe,Discounts
25,Male,75k–1L,Delhi NCR,Freelancer,<6,15–30 min,5–6,Yes,3,"Not cost-effective, Too tired, Waste of ingredients, No ideas, No skills, Don't enjoy it, Cleaning up, Grocery hassle",Before 7 PM,Self,"Healthy Superfoods, South Indian, North Indian, Fusion, Italian, Chinese",Non-Vegetarian,Never,"Muscle gain, Gluten-free, Quick meal-prep, High-protein",None,3,Occasionally,1–2 times,<150,₹300+,Cash,Maybe,3x/week,5–6,"App-based tracking, Recipe variety, Loyalty points, Cancel-anytime, Fast delivery, No cleanup, Customizable, Nutrition labels",Maybe,Definitely,Free meals
37,Male,50k–75k,Other,Full-time,6–8,<15 min,None,No,2,"Cleaning up, Too tired, No ideas, No skills, No time, Portioning issues",After 9 PM,Parent,"Thai, Asian, Continental, Healthy Superfoods, North Indian",Non-Vegetarian,3–4,"Sustainable eating, Diabetes-friendly, Balanced meals, High-protein, Immune boost, Quick meal-prep, Low-carb, Weight loss",None,3,Regularly,1–2 times,250–400,₹300+,UPI,Maybe,3x/week,5–6,"Customizable, Loyalty points, No cleanup, Fast delivery, Family plans, Nutrition labels",Maybe,No,Free meals
23,Female,1.5L+,Pune,Full-time,6–8,30–60 min,3–4,Yes,2,"No ideas, Portioning issues, Waste of ingredients, Grocery hassle, Not cost-effective, No skills, Too tired, Cleaning up",7–8 PM,Parent,"Healthy Superfoods, Continental, Italian, Fusion, South Indian, Vegan, Mexican",Vegetarian,1–2,"High-protein, Gut health, Diabetes-friendly, Low-carb, Gluten-free, Low-calorie, Quick meal-prep",None,1,Never,1–2 times,150–250,₹200,Credit Card,Definitely,Weekly batch,3–4,"Family plans, Nutrition labels, Loyalty points, Recipe variety, Easy cooking, Customizable, Fast delivery, Cancel-anytime",Definitely,Maybe,Discounts
25,Male,1L–1.5L,Mumbai,Full-time,8–10,30–60 min,3–4,Yes,3,"Cleaning up, Waste of ingredients, No time, Not cost-effective, Portioning issues",7–8 PM,Self,"South Indian, Thai, Healthy Superfoods, Keto/High-protein, Italian, North Indian",Non-Vegetarian,3–4,"Low-carb, Quick meal-prep, Sustainable eating, Balanced meals, Diabetes-friendly, Weight loss, Gluten-free, Gut health",None,4,Occasionally,Never,150–250,₹200,UPI,Definitely,Weekly batch,3–4,"Recipe variety, App-based tracking, No cleanup, Family plans, Easy cooking",Definitely,Definitely,Discounts
35,Female,75k–1L,Pune,Student,10+,60+ min,3–4,Only on weekends,2,"Grocery hassle, No time, Portioning issues, Cleaning up",8–9 PM,Self,"Chinese, Keto/High-protein, Mexican, Fusion, South Indian",Eggetarian,5+,"Gluten-free, Diabetes-friendly, Low-carb, Immune boost, Balanced meals, Weight loss",None,3,Never,1–2 times,150–250,₹300+,Cash,Maybe,Daily,1–2,"Easy cooking, Customizable, Recipe variety, App-based tracking, Family plans, No cleanup, Cancel-anytime",Definitely,Definitely,Not important
32,Male,30k–50k,Bangalore,Homemaker,6–8,15–30 min,3–4,No,1,"Cleaning up, Waste of ingredients, No time, No skills, Too tired",7–8 PM,Self,"Continental, Thai, Fusion, North Indian",Vegetarian,Never,"High-protein, Balanced meals, Sustainable eating, Muscle gain, Immune boost, Quick meal-prep",None,5,Never,1–2 times,150–250,₹300+,UPI,Maybe,Weekly batch,5–6,"Loyalty points, No cleanup, Easy cooking, Fast delivery, Cancel-anytime, App-based tracking, Customizable, Nutrition labels",Definitely,Definitely,Free meals
37,Female,75k–1L,Bangalore,Freelancer,8–10,15–30 min,5–6,Yes,2,"Don't enjoy it, No ideas, Waste of ingredients, Too tired",Before 7 PM,Self,"Keto/High-protein, North Indian, Mexican, Vegan, Continental, Chinese, Italian",Eggetarian,Never,"Immune boost, Weight loss, Balanced meals, Sustainable eating, Low-carb, Muscle gain, Low-calorie",None,4,Regularly,3–4 times,150–250,₹150,Credit Card,Definitely,On-demand,1–2,"Fast delivery, No cleanup, Easy cooking, Customizable, App-based tracking, Loyalty points",Definitely,Definitely,Not important
34,Female,75k–1L,Bangalore,Full-time,<6,30–60 min,Daily,Yes,1,"No ideas, Waste of ingredients, Portioning issues, Too tired, Grocery hassle, No time, Cleaning up, Don't enjoy it",8–9 PM,Hired help,"Vegan, North Indian, Asian, Healthy Superfoods, Fusion, Continental",Vegetarian,Never,"Immune boost, Low-carb, Muscle gain, Balanced meals, Low-calorie, Sustainable eating, Diabetes-friendly, High-protein",None,3,Never,5+,250–400,₹200,UPI,Definitely,3x/week,5–6,"Cancel-anytime, Nutrition labels, App-based tracking, Loyalty points, No cleanup, Easy cooking, Family plans, Fast delivery",Definitely,Definitely,Discounts
29,Female,75k–1L,Mumbai,Consultant,6–8,30–60 min,Daily,Yes,1,"Not cost-effective, Don't enjoy it, Cleaning up, Too tired, Grocery hassle, No skills, Portioning issues",8–9 PM,Hired help,"Asian, Italian, Vegan, Chinese, Mexican",Vegan,Never,"Gluten-free, Gut health, Muscle gain, Weight loss, Balanced meals, Immune boost, High-protein, Sustainable eating",None,3,Never,5+,250–400,₹250,Debit Card,Definitely,Weekly batch,3–4,"App-based tracking, Nutrition labels, Loyalty points, Fast delivery, Cancel-anytime, Easy cooking, No cleanup",Maybe,Definitely,Free meals
41,Female,50k–75k,Mumbai,Part-time,6–8,15–30 min,1–2,Only on weekends,3,"Grocery hassle, No ideas, Too tired, Waste of ingredients, No skills, Cleaning up, Don't enjoy it, Portioning issues",After 9 PM,Self,"Vegan, Healthy Superfoods, South Indian, Italian, Continental",Vegetarian,Never,"Diabetes-friendly, Muscle gain, Gluten-free, Sustainable eating, Immune boost, Gut health",None,3,Never,1–2 times,>400,₹200,Debit Card,Definitely,Weekly batch,5–6,"Customizable, Loyalty points, Easy cooking, Family plans",Maybe,Definitely,Discounts
35,Female,75k–1L,Other,Student,6–8,<15 min,1–2,Yes,4,"Grocery hassle, Too tired, No time, No skills, No ideas, Cleaning up",7–8 PM,Hired help,"Healthy Superfoods, South Indian, Fusion, Mexican, Vegan, Keto/High-protein, North Indian, Continental",Non-Vegetarian,3–4,"Low-carb, Low-calorie, Weight loss, High-protein, Gluten-free, Muscle gain, Immune boost, Diabetes-friendly",Gluten,4,Occasionally,1–2 times,250–400,₹200,UPI,Definitely,Weekly batch,3–4,"Cancel-anytime, Loyalty points, Easy cooking, App-based tracking, Customizable, Fast delivery, No cleanup",Definitely,No,Discounts
33,Female,75k–1L,Chennai,Full-time,10+,30–60 min,None,Yes,2,"Portioning issues, Don't enjoy it, No skills, Waste of ingredients, Grocery hassle, Cleaning up, Too tired",8–9 PM,Hired help,"Mexican, North Indian, Thai, Italian, Asian",Vegetarian,1–2,"Gluten-free, Balanced meals, Diabetes-friendly, Quick meal-prep, Immune boost, Low-calorie, Low-carb, Sustainable eating",Gluten,4,Occasionally,3–4 times,150–250,₹250,Credit Card,Definitely,3x/week,1–2,"Fast delivery, Loyalty points, App-based tracking, Cancel-anytime, Recipe variety, No cleanup, Family plans",Maybe,Definitely,Discounts
34,Female,1L–1.5L,Pune,Full-time,6–8,15–30 min,3–4,Yes,3,"Portioning issues, Waste of ingredients, No time, No skills",After 9 PM,Self,"North Indian, Asian, Thai, Italian",Non-Vegetarian,1–2,"High-protein, Low-carb, Diabetes-friendly, Immune boost, Gluten-free",None,4,Regularly,Never,150–250,₹150,UPI,Maybe,Weekly batch,1–2,"Family plans, App-based tracking, Loyalty points, Recipe variety",Definitely,Maybe,Discounts
38,Female,75k–1L,Mumbai,Student,8–10,60+ min,3–4,Only on weekends,2,"Grocery hassle, Portioning issues, No ideas, Waste of ingredients, No time, No skills, Not cost-effective",After 9 PM,Alternates,"Italian, Thai, Chinese, South Indian, Healthy Superfoods",Mixed,Never,"High-protein, Diabetes-friendly, Low-carb, Immune boost, Gut health, Muscle gain, Low-calorie, Balanced meals",None,5,Never,3–4 times,250–400,₹150,Debit Card,Unlikely,Weekly batch,3–4,"No cleanup, Customizable, Cancel-anytime, App-based tracking, Nutrition labels, Family plans, Easy cooking",Maybe,Definitely,Free meals
33,Female,30k–50k,Mumbai,Full-time,6–8,15–30 min,Daily,No,5,"Not cost-effective, No ideas, Portioning issues, No skills, Grocery hassle, No time",7–8 PM,Hired help,"Fusion, Mexican, Continental, Vegan, Chinese, Italian, North Indian, Keto/High-protein",Vegetarian,5+,"High-protein, Gut health, Sustainable eating, Diabetes-friendly, Immune boost, Low-carb, Gluten-free",None,3,Occasionally,3–4 times,150–250,₹200,Credit Card,Definitely,On-demand,1–2,"No cleanup, App-based tracking, Customizable, Fast delivery, Cancel-anytime",Maybe,No,Free meals
41,Female,75k–1L,Bangalore,Consultant,6–8,15–30 min,1–2,Yes,3,"Too tired, Don't enjoy it, Cleaning up, No ideas, Grocery hassle, Portioning issues",7–8 PM,Self,"Keto/High-protein, Mexican, Chinese, Asian, Continental, Vegan, South Indian",Eggetarian,1–2,"Low-calorie, Quick meal-prep, Sustainable eating, High-protein, Diabetes-friendly, Low-carb",None,3,Never,3–4 times,<150,₹200,Credit Card,Definitely,3x/week,5–6,"Cancel-anytime, Loyalty points, App-based tracking, Fast delivery, Nutrition labels, Easy cooking, Customizable, No cleanup",Maybe,Definitely,Free meals
30,Female,1.5L+,Delhi NCR,Full-time,8–10,30–60 min,None,No,2,"No time, Don't enjoy it, Too tired, No skills, Cleaning up, Waste of ingredients, No ideas",8–9 PM,Partner,"Vegan, Keto/High-protein, Fusion, Mexican, Italian, Healthy Superfoods, South Indian",Non-Vegetarian,3–4,"Gut health, Muscle gain, Gluten-free, Diabetes-friendly, Low-carb, Quick meal-prep",None,4,Never,3–4 times,>400,₹250,Wallets,Definitely,Daily,Daily,"Recipe variety, Easy cooking, Fast delivery, Nutrition labels, Customizable",Definitely,Maybe,Discounts
35,Male,75k–1L,Pune,Homemaker,<6,<15 min,3–4,No,2,"Waste of ingredients, No time, No skills, No ideas, Not cost-effective, Too tired, Portioning issues, Grocery hassle",After 9 PM,Partner,"Healthy Superfoods, Chinese, North Indian, Continental",Vegan,Never,"Sustainable eating, High-protein, Quick meal-prep, Gut health, Diabetes-friendly, Low-carb, Weight loss, Muscle gain",None,3,Regularly,1–2 times,>400,₹300+,Cash,Definitely,Weekly batch,1–2,"App-based tracking, Easy cooking, Loyalty points, Nutrition labels",Definitely,Definitely,Not important
43,Male,75k–1L,Mumbai,Full-time,6–8,30–60 min,3–4,Yes,4,"Too tired, Cleaning up, No time, No ideas, Grocery hassle",7–8 PM,Self,"Vegan, North Indian, Asian, Mexican, Thai",Mixed,Never,"Diabetes-friendly, High-protein, Gut health, Low-calorie, Weight loss, Balanced meals",None,4,Occasionally,3–4 times,>400,₹250,Credit Card,Definitely,3x/week,3–4,"No cleanup, Nutrition labels, Customizable, Fast delivery, App-based tracking, Recipe variety, Cancel-anytime",Maybe,Definitely,Free meals
33,Female,1L–1.5L,Delhi NCR,Consultant,6–8,<15 min,5–6,Yes,3,"No skills, Too tired, Not cost-effective, No time",7–8 PM,Self,"Vegan, Italian, Keto/High-protein, Fusion, Continental, Asian",Mixed,Never,"Low-calorie, High-protein, Diabetes-friendly, Weight loss",Soy,4,Occasionally,Never,<150,₹250,Credit Card,Maybe,3x/week,1–2,"Nutrition labels, Cancel-anytime, Easy cooking, Customizable, Recipe variety, Family plans, App-based tracking, Loyalty points",Definitely,Definitely,Discounts
27,Female,1.5L+,Delhi NCR,Full-time,8–10,30–60 min,5–6,No,2,"Grocery hassle, No time, Too tired, Don't enjoy it, Portioning issues",Before 7 PM,Self,"Mexican, Healthy Superfoods, Keto/High-protein, Italian, Continental, Fusion, Asian",Non-Vegetarian,1–2,"Gut health, Gluten-free, Immune boost, Low-calorie, Balanced meals, Sustainable eating, High-protein, Quick meal-prep",None,2,Never,1–2 times,250–400,₹200,UPI,Definitely,Daily,1–2,"Easy cooking, Nutrition labels, Customizable, Loyalty points, Fast delivery, Cancel-anytime, App-based tracking, Recipe variety",Definitely,Definitely,Not important
34,Female,50k–75k,Mumbai,Full-time,<6,30–60 min,3–4,Yes,3,"No time, No skills, Waste of ingredients, Not cost-effective, Cleaning up, Too tired, Portioning issues, Grocery hassle",8–9 PM,Partner,"Chinese, North Indian, Mexican, Keto/High-protein",Vegetarian,5+,"Gluten-free, Muscle gain, Low-calorie, Sustainable eating, Quick meal-prep, High-protein",None,3,Regularly,3–4 times,<150,₹200,UPI,Maybe,Weekly batch,3–4,"Recipe variety, Family plans, Cancel-anytime, Nutrition labels, Easy cooking, App-based tracking, Loyalty points",Definitely,No,Free meals
40,Female,75k–1L,Mumbai,Homemaker,10+,60+ min,5–6,Only on weekends,1,"No ideas, No skills, Waste of ingredients, Grocery hassle, No time, Portioning issues, Don't enjoy it",After 9 PM,Hired help,"North Indian, Keto/High-protein, Fusion, Thai, Continental, Chinese, Mexican",Vegetarian,5+,"Weight loss, High-protein, Gut health, Immune boost, Sustainable eating, Low-calorie, Low-carb, Gluten-free",Nuts,2,Occasionally,Never,250–400,₹200,Credit Card,Unlikely,Daily,5–6,"App-based tracking, Nutrition labels, Fast delivery, Easy cooking, Cancel-anytime, Loyalty points",Definitely,Definitely,Discounts
34,Female,<30k,Bangalore,Consultant,6–8,15–30 min,Daily,No,4,"Not cost-effective, Too tired, No skills, Cleaning up, Don't enjoy it, Grocery hassle, Waste of ingredients, No ideas",7–8 PM,Partner,"Vegan, Thai, South Indian, Continental, Keto/High-protein, North Indian, Healthy Superfoods, Italian",Non-Vegetarian,5+,"Sustainable eating, Quick meal-prep, Low-calorie, Low-carb, Muscle gain, Balanced meals, High-protein",None,5,Occasionally,1–2 times,250–400,₹200,Credit Card,Definitely,Weekly batch,1–2,"Cancel-anytime, Nutrition labels, Easy cooking, Fast delivery, No cleanup, App-based tracking, Customizable, Recipe variety",Definitely,Definitely,Discounts
30,Male,1.5L+,Pune,Full-time,6–8,30–60 min,5–6,No,4,"No skills, Don't enjoy it, Cleaning up, Not cost-effective, No ideas, Grocery hassle",8–9 PM,Partner,"Mexican, Asian, South Indian, Healthy Superfoods, Keto/High-protein, North Indian, Italian, Thai",Non-Vegetarian,1–2,"Gut health, Muscle gain, Weight loss, High-protein, Balanced meals, Diabetes-friendly",None,3,Regularly,3–4 times,150–250,₹250,UPI,Maybe,On-demand,3–4,"Loyalty points, Fast delivery, Cancel-anytime, Nutrition labels, Family plans, Easy cooking, Recipe variety",Maybe,Definitely,Discounts
32,Male,50k–75k,Mumbai,Homemaker,8–10,15–30 min,None,No,3,"No skills, No ideas, Not cost-effective, Waste of ingredients",After 9 PM,Self,"Healthy Superfoods, Fusion, Continental, Vegan, Asian",Non-Vegetarian,3–4,"Gut health, Sustainable eating, Weight loss, Low-calorie, Quick meal-prep, Muscle gain, Diabetes-friendly, High-protein",None,4,Occasionally,3–4 times,250–400,₹200,UPI,Definitely,On-demand,5–6,"Cancel-anytime, Family plans, Customizable, No cleanup, Fast delivery",Definitely,Definitely,Not important
25,Female,1L–1.5L,Chennai,Consultant,6–8,30–60 min,5–6,Only on weekends,4,"Cleaning up, Portioning issues, Don't enjoy it, Grocery hassle, No skills, No ideas",After 9 PM,Partner,"Mexican, Vegan, Thai, Asian, South Indian, Chinese",Vegetarian,1–2,"Balanced meals, Diabetes-friendly, Gut health, Gluten-free",None,5,Occasionally,3–4 times,150–250,₹200,UPI,Unlikely,On-demand,5–6,"Loyalty points, Recipe variety, Customizable, Family plans, Nutrition labels, Cancel-anytime",Definitely,Definitely,Discounts
29,Prefer not to say,1L–1.5L,Bangalore,Part-time,6–8,30–60 min,None,Yes,3,"No skills, Too tired, Waste of ingredients, Not cost-effective, Grocery hassle",8–9 PM,Self,"Keto/High-protein, Continental, South Indian, Chinese, Vegan",Non-Vegetarian,1–2,"Gluten-free, Diabetes-friendly, Low-carb, Weight loss",None,4,Occasionally,3–4 times,150–250,₹250,Debit Card,Unlikely,3x/week,Daily,"Cancel-anytime, No cleanup, Family plans, Nutrition labels, App-based tracking, Recipe variety",Definitely,Maybe,Free meals
34,Female,50k–75k,Hyderabad,Full-time,8–10,15–30 min,5–6,Only on weekends,2,"Don't enjoy it, No ideas, Grocery hassle, Not cost-effective",8–9 PM,Parent,"Vegan, Keto/High-protein, North Indian, Continental",Non-Vegetarian,1–2,"Low-calorie, High-protein, Sustainable eating, Immune boost",None,3,Never,1–2 times,150–250,₹200,UPI,Definitely,3x/week,3–4,"App-based tracking, Loyalty points, Customizable, Fast delivery, Family plans, Cancel-anytime, Recipe variety",Definitely,Definitely,Free meals
32,Female,1L–1.5L,Delhi NCR,Part-time,10+,30–60 min,None,Yes,4,"Cleaning up, No ideas, No time, Portioning issues, Waste of ingredients",8–9 PM,Alternates,"Keto/High-protein, Continental, North Indian, Italian, South Indian",Vegetarian,Never,"Low-carb, Quick meal-prep, Muscle gain, Gut health",None,4,Occasionally,1–2 times,150–250,₹250,UPI,Maybe,3x/week,3–4,"Recipe variety, Cancel-anytime, Nutrition labels, Loyalty points",Definitely,Maybe,Free meals
31,Female,50k–75k,Other,Full-time,<6,60+ min,Daily,No,3,"Don't enjoy it, Portioning issues, Cleaning up, Too tired, Not cost-effective, No time",7–8 PM,Partner,"North Indian, Thai, Italian, Continental, Healthy Superfoods",Non-Vegetarian,1–2,"Weight loss, Quick meal-prep, Sustainable eating, Low-calorie, Gluten-free, High-protein, Balanced meals, Muscle gain",None,1,Regularly,1–2 times,>400,₹200,Debit Card,Unlikely,Weekly batch,5–6,"Recipe variety, Fast delivery, Family plans, Nutrition labels, App-based tracking",Definitely,Definitely,Free meals
38,Male,30k–50k,Chennai,Consultant,6–8,<15 min,1–2,Yes,1,"Portioning issues, Not cost-effective, Don't enjoy it, No ideas, Too tired, No skills, Cleaning up",8–9 PM,Self,"South Indian, Asian, Thai, Keto/High-protein",Vegetarian,5+,"Low-calorie, Muscle gain, Gut health, Balanced meals, Weight loss, Sustainable eating, Immune boost, Quick meal-prep",Nuts,3,Never,5+,150–250,₹200,Credit Card,Definitely,Daily,3–4,"Cancel-anytime, Nutrition labels, Family plans, Customizable, Easy cooking, Recipe variety",Maybe,Maybe,Free meals
27,Male,30k–50k,Mumbai,Full-time,6–8,15–30 min,5–6,Only on weekends,1,"Too tired, Portioning issues, Waste of ingredients, Not cost-effective, Grocery hassle, Cleaning up",After 9 PM,Partner,"Vegan, Italian, Asian, Fusion, Thai, Mexican, South Indian",Vegetarian,Never,"Immune boost, Low-carb, Muscle gain, Gluten-free, Low-calorie, Diabetes-friendly, Balanced meals, Weight loss",Lactose,5,Never,1–2 times,250–400,₹200,Credit Card,Maybe,On-demand,5–6,"Easy cooking, No cleanup, Customizable, App-based tracking",No,No,Discounts
30,Female,1L–1.5L,Hyderabad,Full-time,10+,30–60 min,Daily,Yes,3,"Too tired, Cleaning up, Grocery hassle, Waste of ingredients, Portioning issues, No skills, Don't enjoy it",7–8 PM,Self,"Vegan, Continental, Asian, South Indian, Mexican, Healthy Superfoods, Italian, North Indian",Non-Vegetarian,Never,"Quick meal-prep, Balanced meals, Low-carb, Weight loss",None,3,Never,1–2 times,150–250,₹300+,Cash,Definitely,Weekly batch,5–6,"App-based tracking, Customizable, Fast delivery, Recipe variety, Easy cooking, No cleanup",Definitely,Maybe,Free meals
35,Female,75k–1L,Bangalore,Freelancer,6–8,15–30 min,1–2,Only on weekends,3,"Waste of ingredients, No ideas, Grocery hassle, Don't enjoy it, Portioning issues, Cleaning up, Not cost-effective",7–8 PM,Self,"Chinese, Vegan, Italian, South Indian, Mexican, Thai, Continental, Fusion",Non-Vegetarian,3–4,"Weight loss, Gut health, Gluten-free, Low-carb",None,2,Regularly,3–4 times,>400,₹200,UPI,Maybe,3x/week,5–6,"Recipe variety, Loyalty points, No cleanup, App-based tracking, Fast delivery, Family plans, Nutrition labels, Easy cooking",No,Definitely,Free meals
37,Male,50k–75k,Delhi NCR,Full-time,6–8,15–30 min,None,Yes,2,"Don't enjoy it, Portioning issues, Grocery hassle, No skills, No ideas, Cleaning up, Not cost-effective, Waste of ingredients",8–9 PM,Partner,"Vegan, Chinese, Fusion, South Indian, Asian",Vegan,5+,"Sustainable eating, Weight loss, Balanced meals, Diabetes-friendly, Low-carb, High-protein, Low-calorie, Gluten-free",None,2,Never,3–4 times,150–250,₹150,UPI,Definitely,3x/week,1–2,"Nutrition labels, Easy cooking, Recipe variety, Customizable",Definitely,Definitely,Not important
30,Female,75k–1L,Chennai,Part-time,8–10,15–30 min,3–4,Yes,4,"Grocery hassle, Too tired, Waste of ingredients, Don't enjoy it",8–9 PM,Self,"Vegan, Thai, Italian, Chinese, South Indian",Non-Vegetarian,3–4,"Low-calorie, Balanced meals, Muscle gain, Diabetes-friendly, Low-carb, Quick meal-prep, Gut health",None,4,Never,1–2 times,250–400,₹150,UPI,Maybe,On-demand,3–4,"No cleanup, Nutrition labels, Fast delivery, Recipe variety, App-based tracking, Cancel-anytime, Customizable",Definitely,Definitely,Discounts
31,Female,50k–75k,Other,Consultant,6–8,<15 min,None,No,2,"Grocery hassle, No skills, Don't enjoy it, Waste of ingredients, Not cost-effective, No ideas",Before 7 PM,Partner,"South Indian, Continental, Healthy Superfoods, Thai, Mexican, North Indian",Non-Vegetarian,Never,"Low-carb, Balanced meals, Gut health, Muscle gain, Immune boost, Diabetes-friendly, Low-calorie, High-protein",None,3,Never,3–4 times,150–250,₹200,Credit Card,Definitely,3x/week,3–4,"Loyalty points, Easy cooking, Cancel-anytime, Family plans, Fast delivery, Customizable, Nutrition labels, App-based tracking",Definitely,Maybe,Discounts
43,Male,1L–1.5L,Bangalore,Homemaker,<6,15–30 min,1–2,Only on weekends,3,"Portioning issues, Waste of ingredients, Not cost-effective, Cleaning up, Don't enjoy it",8–9 PM,Partner,"Continental, North Indian, Thai, South Indian, Fusion",Mixed,5+,"Gluten-free, Diabetes-friendly, High-protein, Sustainable eating, Immune boost, Gut health, Low-calorie, Balanced meals",None,4,Regularly,1–2 times,150–250,₹150,Debit Card,Definitely,3x/week,1–2,"Easy cooking, Loyalty points, No cleanup, Cancel-anytime",Definitely,Maybe,Discounts
38,Male,50k–75k,Mumbai,Consultant,6–8,15–30 min,None,Yes,3,"Waste of ingredients, Grocery hassle, No ideas, No time, Don't enjoy it, Not cost-effective",8–9 PM,Self,"Italian, Continental, Vegan, Asian",Vegetarian,1–2,"Gluten-free, Sustainable eating, Weight loss, Quick meal-prep, Muscle gain",Gluten,3,Occasionally,5+,>400,₹200,Cash,Definitely,3x/week,1–2,"No cleanup, Loyalty points, App-based tracking, Family plans, Recipe variety, Cancel-anytime, Fast delivery",Definitely,Definitely,Free meals
32,Female,1L–1.5L,Mumbai,Consultant,8–10,15–30 min,1–2,Yes,2,"Don't enjoy it, Waste of ingredients, No time, Too tired, Not cost-effective, Cleaning up, No ideas",After 9 PM,Hired help,"South Indian, Keto/High-protein, Healthy Superfoods, Italian",Vegan,3–4,"High-protein, Gut health, Immune boost, Gluten-free, Diabetes-friendly, Low-carb, Weight loss",None,3,Regularly,1–2 times,>400,₹250,Credit Card,Maybe,3x/week,1–2,"Easy cooking, Recipe variety, Fast delivery, Cancel-anytime, Nutrition labels, Loyalty points, Customizable",Definitely,Maybe,Not important
36,Male,75k–1L,Hyderabad,Part-time,6–8,15–30 min,5–6,Yes,3,"Don't enjoy it, Not cost-effective, Portioning issues, Grocery hassle, Cleaning up, Waste of ingredients, No skills, Too tired",7–8 PM,Partner,"Mexican, South Indian, Continental, Fusion, Asian, Chinese",Vegetarian,1–2,"High-protein, Low-carb, Immune boost, Weight loss, Low-calorie, Diabetes-friendly, Muscle gain, Quick meal-prep",None,4,Never,3–4 times,150–250,₹150,Credit Card,Definitely,On-demand,5–6,"Cancel-anytime, Family plans, Customizable, No cleanup, Easy cooking, App-based tracking",Definitely,Definitely,Discounts
32,Female,<30k,Bangalore,Full-time,6–8,60+ min,Daily,Only on weekends,3,"Don't enjoy it, Too tired, Grocery hassle, No skills, No ideas, Portioning issues, Cleaning up, Waste of ingredients",After 9 PM,Self,"Vegan, North Indian, Italian, Healthy Superfoods, Fusion",Non-Vegetarian,1–2,"Immune boost, Weight loss, Balanced meals, Gluten-free, Sustainable eating, Low-calorie",None,2,Regularly,5+,150–250,₹200,Debit Card,Definitely,Daily,Daily,"Easy cooking, Nutrition labels, Cancel-anytime, Fast delivery, Recipe variety, No cleanup",Maybe,Maybe,Free meals
37,Female,30k–50k,Mumbai,Full-time,8–10,60+ min,None,Only on weekends,3,"No ideas, Waste of ingredients, Grocery hassle, Don't enjoy it",After 9 PM,Hired help,"Fusion, Asian, Keto/High-protein, North Indian",Non-Vegetarian,3–4,"Gluten-free, Low-calorie, High-protein, Diabetes-friendly, Weight loss",None,4,Never,1–2 times,>400,₹250,Cash,Definitely,On-demand,1–2,"Nutrition labels, Easy cooking, Fast delivery, App-based tracking, No cleanup, Loyalty points, Family plans",No,Definitely,Free meals
20,Female,75k–1L,Bangalore,Homemaker,6–8,15–30 min,None,Only on weekends,5,"Not cost-effective, Too tired, No ideas, Don't enjoy it",8–9 PM,Self,"Keto/High-protein, Healthy Superfoods, Italian, North Indian, Chinese, Fusion",Mixed,Never,"Balanced meals, Low-calorie, Quick meal-prep, Low-carb",None,3,Never,Never,250–400,₹200,UPI,Definitely,On-demand,5–6,"Nutrition labels, Loyalty points, Family plans, App-based tracking, Recipe variety, Cancel-anytime, No cleanup",Maybe,No,Not important
38,Prefer not to say,50k–75k,Chennai,Homemaker,10+,15–30 min,5–6,Yes,1,"Cleaning up, Waste of ingredients, No ideas, No time, Not cost-effective, Too tired",Before 7 PM,Self,"Healthy Superfoods, Keto/High-protein, North Indian, Fusion, Continental, Thai, Chinese",Eggetarian,5+,"Weight loss, High-protein, Muscle gain, Balanced meals, Sustainable eating, Low-carb, Diabetes-friendly, Immune boost",None,4,Never,5+,150–250,₹250,UPI,Unlikely,3x/week,1–2,"Family plans, Fast delivery, Customizable, Nutrition labels, Recipe variety, Cancel-anytime",Definitely,Definitely,Free meals
27,Male,50k–75k,Delhi NCR,Consultant,8–10,<15 min,1–2,Yes,2,"No ideas, Portioning issues, Cleaning up, Not cost-effective, No time, Too tired",8–9 PM,Self,"Fusion, Asian, Healthy Superfoods, Keto/High-protein",Vegetarian,Never,"High-protein, Immune boost, Weight loss, Quick meal-prep, Muscle gain, Gluten-free",None,5,Occasionally,3–4 times,150–250,₹150,Debit Card,Maybe,On-demand,3–4,"Nutrition labels, No cleanup, Easy cooking, App-based tracking, Customizable",Definitely,Definitely,Discounts
